Total tasks: 203
ID: 1329, Code: 622JW1, Status: Completed
ID: 1734, Code: 635YTS1, Status: Assigned to Editor
ID: 1735, Code: 635YTS2, Status: Assigned to Editor
ID: 1736, Code: 635YTS3, Status: Assigned to Editor
ID: 1737, Code: 635YTS4, Status: In Progress
ID: 1738, Code: 635YTS5, Status: In Progress
ID: 1739, Code: 635YTS6, Status: In Progress
ID: 1740, Code: 635YTS7, Status: In Progress
ID: 1741, Code: 635YTS8, Status: In Progress
ID: 1742, Code: 635P1, Status: In Progress
ID: 1743, Code: 635P2, Status: Assigned
ID: 1744, Code: 635P3, Status: Assigned
ID: 1745, Code: 635P4, Status: Assigned
ID: 1746, Code: 635P5, Status: Assigned
ID: 1747, Code: 635P6, Status: Assigned
ID: 1748, Code: 635P7, Status: Assigned
ID: 1749, Code: 635P8, Status: Assigned
ID: 1750, Code: 635P9, Status: Assigned
ID: 1751, Code: 635P10, Status: Assigned
ID: 1752, Code: 635R1, Status: Assigned
ID: 1753, Code: 635R2, Status: Assigned
ID: 1754, Code: 635R3, Status: Assigned
ID: 1755, Code: 635R4, Status: Assigned
ID: 1756, Code: 635R5, Status: Assigned
ID: 1757, Code: 635R6, Status: Assigned
ID: 1758, Code: 635R7, Status: Assigned
ID: 1759, Code: 635R8, Status: Assigned
ID: 1760, Code: 635R9, Status: Assigned
ID: 1761, Code: 635R10, Status: Assigned
ID: 1762, Code: 635YT1, Status: Assigned
ID: 1763, Code: 635YT2, Status: Assigned
ID: 1764, Code: 635YT3, Status: Assigned
ID: 1765, Code: 635YT4, Status: Assigned
ID: 1766, Code: 633YTS1, Status: Completed
ID: 1767, Code: 633YTS2, Status: In Progress
ID: 1768, Code: 633YTS3, Status: Assigned
ID: 1769, Code: 633YTS4, Status: Assigned
ID: 1770, Code: 633YTS5, Status: Assigned
ID: 1771, Code: 633P1, Status: Assigned
ID: 1772, Code: 633P2, Status: Assigned
ID: 1773, Code: 633P3, Status: Assigned
ID: 1774, Code: 633P4, Status: Assigned
ID: 1775, Code: 633P5, Status: Assigned
ID: 1776, Code: 633R1, Status: Assigned
ID: 1777, Code: 633R2, Status: Assigned
ID: 1778, Code: 633R3, Status: Assigned
ID: 1779, Code: 633R4, Status: Assigned
ID: 1780, Code: 633R5, Status: Assigned
ID: 1781, Code: 633YT1, Status: Assigned
ID: 1782, Code: 633YT2, Status: Assigned
ID: 1783, Code: 633YT3, Status: Assigned
ID: 1784, Code: 633YT4, Status: Assigned
ID: 1785, Code: 633YT5, Status: Assigned
ID: 1786, Code: 634YTS1, Status: Assigned
ID: 1787, Code: 634YTS2, Status: Assigned
ID: 1788, Code: 634YTS3, Status: Assigned
ID: 1789, Code: 634YTS4, Status: Assigned
ID: 1790, Code: 634YTS5, Status: Assigned
ID: 1791, Code: 634YT1, Status: Assigned
ID: 1792, Code: 634YT2, Status: Assigned
ID: 1793, Code: 639YTS1, Status: Assigned
